,Confidence,Effective Proportion,Average Accuracy,$\Delta$ Accuracy,Test Needed
178,0.95,$\rho=0.75$,50.0,8.600000000000001,68
179,0.95,$\rho=0.75$,75.0,4.300000000000001,197
180,0.95,$\rho=0.75$,90.0,1.7199999999999998,573
181,0.95,$\rho=0.75$,50.0,8.700000000000001,65
182,0.95,$\rho=0.75$,75.0,4.3500000000000005,191
183,0.95,$\rho=0.75$,90.0,1.7399999999999995,537
184,0.95,$\rho=0.75$,50.0,8.799999999999999,65
185,0.95,$\rho=0.75$,75.0,4.3999999999999995,186
186,0.95,$\rho=0.75$,90.0,1.7599999999999998,587
187,0.95,$\rho=0.75$,50.0,8.9,63
188,0.95,$\rho=0.75$,75.0,4.45,185
189,0.95,$\rho=0.75$,90.0,1.7799999999999996,537
190,0.95,$\rho=0.75$,50.0,9.0,60
191,0.95,$\rho=0.75$,75.0,4.5,178
192,0.95,$\rho=0.75$,90.0,1.7999999999999996,562
193,0.95,$\rho=0.75$,50.0,9.1,59
194,0.95,$\rho=0.75$,75.0,4.55,177
195,0.95,$\rho=0.75$,90.0,1.8199999999999998,517
196,0.95,$\rho=0.75$,50.0,9.2,59
197,0.95,$\rho=0.75$,75.0,4.6,171
198,0.95,$\rho=0.75$,90.0,1.8399999999999996,513
199,0.95,$\rho=0.75$,50.0,9.3,60
200,0.95,$\rho=0.75$,75.0,4.65,170
201,0.95,$\rho=0.75$,90.0,1.8599999999999994,504
202,0.95,$\rho=0.75$,50.0,9.4,59
203,0.95,$\rho=0.75$,75.0,4.7,161
204,0.95,$\rho=0.75$,90.0,1.8799999999999997,475
205,0.95,$\rho=0.75$,50.0,9.5,55
206,0.95,$\rho=0.75$,75.0,4.75,161
207,0.95,$\rho=0.75$,90.0,1.8999999999999997,474
208,0.95,$\rho=0.75$,50.0,9.6,54
209,0.95,$\rho=0.75$,75.0,4.8,157
210,0.95,$\rho=0.75$,90.0,1.9199999999999995,479
211,0.95,$\rho=0.75$,50.0,9.700000000000001,53
212,0.95,$\rho=0.75$,75.0,4.8500000000000005,153
213,0.95,$\rho=0.75$,90.0,1.9399999999999997,464
214,0.95,$\rho=0.75$,50.0,9.8,51
215,0.95,$\rho=0.75$,75.0,4.9,157
216,0.95,$\rho=0.75$,90.0,1.9599999999999995,427
217,0.95,$\rho=0.75$,50.0,9.9,53
218,0.95,$\rho=0.75$,75.0,4.95,150
219,0.95,$\rho=0.75$,90.0,1.9799999999999995,441
220,0.95,$\rho=0.75$,50.0,10.0,50
221,0.95,$\rho=0.75$,75.0,5.0,149
222,0.95,$\rho=0.75$,90.0,1.9999999999999998,437
223,0.95,$\rho=0.75$,50.0,10.100000000000001,50
224,0.95,$\rho=0.75$,75.0,5.050000000000001,144
225,0.95,$\rho=0.75$,90.0,2.0199999999999996,422
226,0.95,$\rho=0.75$,50.0,10.200000000000001,49
227,0.95,$\rho=0.75$,75.0,5.1000000000000005,138
228,0.95,$\rho=0.75$,90.0,2.0399999999999996,422
229,0.95,$\rho=0.75$,50.0,10.3,47
230,0.95,$\rho=0.75$,75.0,5.15,138
231,0.95,$\rho=0.75$,90.0,2.0599999999999996,411
232,0.95,$\rho=0.75$,50.0,10.4,48
233,0.95,$\rho=0.75$,75.0,5.2,133
234,0.95,$\rho=0.75$,90.0,2.0799999999999996,407
235,0.95,$\rho=0.75$,50.0,10.5,49
236,0.95,$\rho=0.75$,75.0,5.25,138
237,0.95,$\rho=0.75$,90.0,2.0999999999999996,394
238,0.95,$\rho=0.75$,50.0,10.6,47
239,0.95,$\rho=0.75$,75.0,5.3,134
240,0.95,$\rho=0.75$,90.0,2.1199999999999997,387
241,0.95,$\rho=0.75$,50.0,10.7,47
242,0.95,$\rho=0.75$,75.0,5.35,129
243,0.95,$\rho=0.75$,90.0,2.1399999999999997,372
244,0.95,$\rho=0.75$,50.0,10.8,43
245,0.95,$\rho=0.75$,75.0,5.4,129
246,0.95,$\rho=0.75$,90.0,2.1599999999999993,370
247,0.95,$\rho=0.75$,50.0,10.9,43
248,0.95,$\rho=0.75$,75.0,5.45,125
249,0.95,$\rho=0.75$,90.0,2.1799999999999997,371
250,0.95,$\rho=0.75$,50.0,11.0,42
251,0.95,$\rho=0.75$,75.0,5.5,123
252,0.95,$\rho=0.75$,90.0,2.1999999999999997,360
253,0.95,$\rho=0.75$,50.0,11.1,44
254,0.95,$\rho=0.75$,75.0,5.55,122
255,0.95,$\rho=0.75$,90.0,2.2199999999999993,357
256,0.95,$\rho=0.75$,50.0,11.200000000000001,41
257,0.95,$\rho=0.75$,75.0,5.6000000000000005,117
258,0.95,$\rho=0.75$,90.0,2.2399999999999998,338
259,0.95,$\rho=0.75$,50.0,11.3,40
260,0.95,$\rho=0.75$,75.0,5.65,113
261,0.95,$\rho=0.75$,90.0,2.2599999999999993,348
262,0.95,$\rho=0.75$,50.0,11.4,41
263,0.95,$\rho=0.75$,75.0,5.7,111
264,0.95,$\rho=0.75$,90.0,2.2799999999999994,347
265,0.95,$\rho=0.75$,50.0,11.5,39
266,0.95,$\rho=0.75$,75.0,5.75,120
267,0.95,$\rho=0.75$,90.0,2.3,327
268,0.95,$\rho=0.75$,50.0,11.600000000000001,36
269,0.95,$\rho=0.75$,75.0,5.800000000000001,117
270,0.95,$\rho=0.75$,90.0,2.3199999999999994,333
271,0.95,$\rho=0.75$,50.0,11.700000000000001,37
272,0.95,$\rho=0.75$,75.0,5.8500000000000005,109
273,0.95,$\rho=0.75$,90.0,2.3399999999999994,320
274,0.95,$\rho=0.75$,50.0,11.8,37
275,0.95,$\rho=0.75$,75.0,5.9,106
276,0.95,$\rho=0.75$,90.0,2.3599999999999994,308
277,0.95,$\rho=0.75$,50.0,11.9,36
278,0.95,$\rho=0.75$,75.0,5.95,104
279,0.95,$\rho=0.75$,90.0,2.3799999999999994,312
280,0.95,$\rho=0.75$,50.0,12.0,35
281,0.95,$\rho=0.75$,75.0,6.0,102
282,0.95,$\rho=0.75$,90.0,2.3999999999999995,309
283,0.95,$\rho=0.75$,50.0,12.1,37
284,0.95,$\rho=0.75$,75.0,6.05,100
285,0.95,$\rho=0.75$,90.0,2.4199999999999995,292
286,0.95,$\rho=0.75$,50.0,12.2,34
287,0.95,$\rho=0.75$,75.0,6.1,98
288,0.95,$\rho=0.75$,90.0,2.4399999999999995,286
289,0.95,$\rho=0.75$,50.0,12.3,35
290,0.95,$\rho=0.75$,75.0,6.15,101
291,0.95,$\rho=0.75$,90.0,2.4599999999999995,294
292,0.95,$\rho=0.75$,50.0,12.4,34
293,0.95,$\rho=0.75$,75.0,6.2,100
294,0.95,$\rho=0.75$,90.0,2.4799999999999995,280
295,0.95,$\rho=0.75$,50.0,12.5,33
296,0.95,$\rho=0.75$,75.0,6.25,96
297,0.95,$\rho=0.75$,90.0,2.4999999999999996,282
298,0.95,$\rho=0.75$,50.0,12.6,33
299,0.95,$\rho=0.75$,75.0,6.3,96
300,0.95,$\rho=0.75$,90.0,2.519999999999999,284
301,0.95,$\rho=0.75$,50.0,12.7,33
302,0.95,$\rho=0.75$,75.0,6.35,95
303,0.95,$\rho=0.75$,90.0,2.5399999999999996,272
304,0.95,$\rho=0.75$,50.0,12.8,33
305,0.95,$\rho=0.75$,75.0,6.4,92
306,0.95,$\rho=0.75$,90.0,2.5599999999999996,269
307,0.95,$\rho=0.75$,50.0,12.9,31
308,0.95,$\rho=0.75$,75.0,6.45,88
309,0.95,$\rho=0.75$,90.0,2.579999999999999,268
310,0.95,$\rho=0.75$,50.0,13.0,31
311,0.95,$\rho=0.75$,75.0,6.5,85
312,0.95,$\rho=0.75$,90.0,2.5999999999999996,259
313,0.95,$\rho=0.75$,50.0,13.100000000000001,30
314,0.95,$\rho=0.75$,75.0,6.550000000000001,84
315,0.95,$\rho=0.75$,90.0,2.619999999999999,259
316,0.95,$\rho=0.75$,50.0,13.200000000000001,29
317,0.95,$\rho=0.75$,75.0,6.6000000000000005,84
318,0.95,$\rho=0.75$,90.0,2.6399999999999992,253
319,0.95,$\rho=0.75$,50.0,13.3,29
320,0.95,$\rho=0.75$,75.0,6.65,85
321,0.95,$\rho=0.75$,90.0,2.6599999999999997,251
322,0.95,$\rho=0.75$,50.0,13.4,29
323,0.95,$\rho=0.75$,75.0,6.7,83
324,0.95,$\rho=0.75$,90.0,2.6799999999999993,249
325,0.95,$\rho=0.75$,50.0,13.5,29
326,0.95,$\rho=0.75$,75.0,6.75,82
327,0.95,$\rho=0.75$,90.0,2.6999999999999993,245
328,0.95,$\rho=0.75$,50.0,13.600000000000001,28
329,0.95,$\rho=0.75$,75.0,6.800000000000001,81
330,0.95,$\rho=0.75$,90.0,2.7199999999999993,220
331,0.95,$\rho=0.75$,50.0,13.700000000000001,29
332,0.95,$\rho=0.75$,75.0,6.8500000000000005,77
333,0.95,$\rho=0.75$,90.0,2.7399999999999993,245
334,0.95,$\rho=0.75$,50.0,13.8,26
335,0.95,$\rho=0.75$,75.0,6.9,77
336,0.95,$\rho=0.75$,90.0,2.7599999999999993,236
337,0.95,$\rho=0.75$,50.0,13.900000000000002,26
338,0.95,$\rho=0.75$,75.0,6.950000000000001,77
339,0.95,$\rho=0.75$,90.0,2.7799999999999994,223
340,0.95,$\rho=0.75$,50.0,14.000000000000002,27
341,0.95,$\rho=0.75$,75.0,7.000000000000001,80
342,0.95,$\rho=0.75$,90.0,2.7999999999999994,236
343,0.95,$\rho=0.75$,50.0,14.100000000000001,26
344,0.95,$\rho=0.75$,75.0,7.050000000000001,77
345,0.95,$\rho=0.75$,90.0,2.8199999999999994,224
346,0.95,$\rho=0.75$,50.0,14.200000000000001,26
347,0.95,$\rho=0.75$,75.0,7.1000000000000005,76
348,0.95,$\rho=0.75$,90.0,2.8399999999999994,233
349,0.95,$\rho=0.75$,50.0,14.3,25
350,0.95,$\rho=0.75$,75.0,7.15,74
351,0.95,$\rho=0.75$,90.0,2.8599999999999994,218
352,0.95,$\rho=0.75$,50.0,14.400000000000002,25
353,0.95,$\rho=0.75$,75.0,7.200000000000001,71
354,0.95,$\rho=0.75$,90.0,2.879999999999999,213
355,0.95,$\rho=0.75$,50.0,14.499999999999998,24
356,0.95,$\rho=0.75$,75.0,7.249999999999999,74
357,0.95,$\rho=0.75$,90.0,2.8999999999999995,202
358,0.95,$\rho=0.75$,50.0,14.6,24
359,0.95,$\rho=0.75$,75.0,7.3,71
360,0.95,$\rho=0.75$,90.0,2.9199999999999995,201
361,0.95,$\rho=0.75$,50.0,14.7,24
362,0.95,$\rho=0.75$,75.0,7.35,71
363,0.95,$\rho=0.75$,90.0,2.939999999999999,207
364,0.95,$\rho=0.75$,50.0,14.799999999999999,25
365,0.95,$\rho=0.75$,75.0,7.3999999999999995,68
366,0.95,$\rho=0.75$,90.0,2.9599999999999995,209
367,0.95,$\rho=0.75$,50.0,14.899999999999999,24
368,0.95,$\rho=0.75$,75.0,7.449999999999999,66
369,0.95,$\rho=0.75$,90.0,2.9799999999999995,196
370,0.95,$\rho=0.75$,50.0,15.0,23
371,0.95,$\rho=0.75$,75.0,7.5,65
372,0.95,$\rho=0.75$,90.0,2.999999999999999,195
373,0.95,$\rho=0.75$,50.0,15.1,25
374,0.95,$\rho=0.75$,75.0,7.55,65
375,0.95,$\rho=0.75$,90.0,3.0199999999999996,189
376,0.95,$\rho=0.75$,50.0,15.2,23
377,0.95,$\rho=0.75$,75.0,7.6,65
378,0.95,$\rho=0.75$,90.0,3.039999999999999,189
379,0.95,$\rho=0.75$,50.0,15.299999999999999,23
380,0.95,$\rho=0.75$,75.0,7.6499999999999995,65
381,0.95,$\rho=0.75$,90.0,3.059999999999999,197
382,0.95,$\rho=0.75$,50.0,15.4,23
383,0.95,$\rho=0.75$,75.0,7.7,64
384,0.95,$\rho=0.75$,90.0,3.079999999999999,195
385,0.95,$\rho=0.75$,50.0,15.5,23
386,0.95,$\rho=0.75$,75.0,7.75,62
387,0.95,$\rho=0.75$,90.0,3.099999999999999,182
388,0.95,$\rho=0.75$,50.0,15.6,22
389,0.95,$\rho=0.75$,75.0,7.8,60
390,0.95,$\rho=0.75$,90.0,3.119999999999999,185
391,0.95,$\rho=0.75$,50.0,15.7,21
392,0.95,$\rho=0.75$,75.0,7.85,59
393,0.95,$\rho=0.75$,90.0,3.1399999999999992,177
394,0.95,$\rho=0.75$,50.0,15.8,20
395,0.95,$\rho=0.75$,75.0,7.9,63
396,0.95,$\rho=0.75$,90.0,3.1599999999999997,184
397,0.95,$\rho=0.75$,50.0,15.9,21
398,0.95,$\rho=0.75$,75.0,7.95,58
399,0.95,$\rho=0.75$,90.0,3.1799999999999997,184
400,0.95,$\rho=0.75$,50.0,16.0,21
401,0.95,$\rho=0.75$,75.0,8.0,58
402,0.95,$\rho=0.75$,90.0,3.1999999999999993,178
403,0.95,$\rho=0.75$,50.0,16.1,20
404,0.95,$\rho=0.75$,75.0,8.05,59
405,0.95,$\rho=0.75$,90.0,3.2199999999999993,172
406,0.95,$\rho=0.75$,50.0,16.2,20
407,0.95,$\rho=0.75$,75.0,8.1,56
408,0.95,$\rho=0.75$,90.0,3.2399999999999993,172
409,0.95,$\rho=0.75$,50.0,16.3,20
410,0.95,$\rho=0.75$,75.0,8.15,58
411,0.95,$\rho=0.75$,90.0,3.259999999999999,165
412,0.95,$\rho=0.75$,50.0,16.400000000000002,20
413,0.95,$\rho=0.75$,75.0,8.200000000000001,59
414,0.95,$\rho=0.75$,90.0,3.2799999999999994,169
415,0.95,$\rho=0.75$,50.0,16.5,20
416,0.95,$\rho=0.75$,75.0,8.25,55
417,0.95,$\rho=0.75$,90.0,3.2999999999999994,169
418,0.95,$\rho=0.75$,50.0,16.6,20
419,0.95,$\rho=0.75$,75.0,8.3,55
420,0.95,$\rho=0.75$,90.0,3.3199999999999994,160
421,0.95,$\rho=0.75$,50.0,16.7,18
422,0.95,$\rho=0.75$,75.0,8.35,55
423,0.95,$\rho=0.75$,90.0,3.3399999999999994,161
424,0.95,$\rho=0.75$,50.0,16.8,20
425,0.95,$\rho=0.75$,75.0,8.4,56
426,0.95,$\rho=0.75$,90.0,3.359999999999999,166
427,0.95,$\rho=0.75$,50.0,16.900000000000002,18
428,0.95,$\rho=0.75$,75.0,8.450000000000001,54
429,0.95,$\rho=0.75$,90.0,3.379999999999999,160
430,0.95,$\rho=0.75$,50.0,17.0,18
431,0.95,$\rho=0.75$,75.0,8.5,54
432,0.95,$\rho=0.75$,90.0,3.3999999999999995,154
433,0.95,$\rho=0.75$,50.0,17.1,18
434,0.95,$\rho=0.75$,75.0,8.55,53
435,0.95,$\rho=0.75$,90.0,3.4199999999999995,154
436,0.95,$\rho=0.75$,50.0,17.200000000000003,18
437,0.95,$\rho=0.75$,75.0,8.600000000000001,50
438,0.95,$\rho=0.75$,90.0,3.4399999999999995,154
439,0.95,$\rho=0.75$,50.0,17.3,18
440,0.95,$\rho=0.75$,75.0,8.65,51
441,0.95,$\rho=0.75$,90.0,3.459999999999999,146
442,0.95,$\rho=0.75$,50.0,17.400000000000002,17
443,0.95,$\rho=0.75$,75.0,8.700000000000001,50
444,0.95,$\rho=0.75$,90.0,3.479999999999999,146
445,0.95,$\rho=0.75$,75.0,8.75,50
446,0.95,$\rho=0.75$,90.0,3.499999999999999,150
447,0.95,$\rho=0.75$,75.0,8.799999999999999,49
448,0.95,$\rho=0.75$,90.0,3.5199999999999996,142
449,0.95,$\rho=0.75$,75.0,8.85,49
450,0.95,$\rho=0.75$,90.0,3.5399999999999996,140
451,0.95,$\rho=0.75$,75.0,8.9,50
452,0.95,$\rho=0.75$,90.0,3.559999999999999,140
453,0.95,$\rho=0.75$,75.0,8.95,49
454,0.95,$\rho=0.75$,90.0,3.579999999999999,142
455,0.95,$\rho=0.75$,75.0,9.0,49
456,0.95,$\rho=0.75$,90.0,3.599999999999999,137
457,0.95,$\rho=0.75$,75.0,9.049999999999999,48
458,0.95,$\rho=0.75$,90.0,3.6199999999999988,132
459,0.95,$\rho=0.75$,75.0,9.1,48
460,0.95,$\rho=0.75$,90.0,3.6399999999999997,137
461,0.95,$\rho=0.75$,75.0,9.15,48
462,0.95,$\rho=0.75$,90.0,3.6599999999999993,132
463,0.95,$\rho=0.75$,75.0,9.2,47
464,0.95,$\rho=0.75$,90.0,3.6799999999999993,139
465,0.95,$\rho=0.75$,75.0,9.25,45
466,0.95,$\rho=0.75$,90.0,3.6999999999999993,131
467,0.95,$\rho=0.75$,75.0,9.3,47
468,0.95,$\rho=0.75$,90.0,3.719999999999999,135
469,0.95,$\rho=0.75$,75.0,9.35,44
470,0.95,$\rho=0.75$,90.0,3.739999999999999,133
471,0.95,$\rho=0.75$,75.0,9.4,43
472,0.95,$\rho=0.75$,90.0,3.7599999999999993,124
473,0.95,$\rho=0.75$,75.0,9.45,44
474,0.95,$\rho=0.75$,90.0,3.7799999999999994,130
475,0.95,$\rho=0.75$,75.0,9.5,43
476,0.95,$\rho=0.75$,90.0,3.7999999999999994,122
477,0.95,$\rho=0.75$,75.0,9.55,44
478,0.95,$\rho=0.75$,90.0,3.819999999999999,123
479,0.95,$\rho=0.75$,75.0,9.6,41
480,0.95,$\rho=0.75$,90.0,3.839999999999999,125
481,0.95,$\rho=0.75$,75.0,9.65,40
482,0.95,$\rho=0.75$,90.0,3.859999999999999,119
483,0.95,$\rho=0.75$,75.0,9.700000000000001,41
484,0.95,$\rho=0.75$,90.0,3.8799999999999994,121
485,0.95,$\rho=0.75$,75.0,9.75,40
486,0.95,$\rho=0.75$,90.0,3.8999999999999995,118
487,0.95,$\rho=0.75$,75.0,9.8,39
